row	strain	query	array	present	category
11998	IMP4g6-GPI12-NRg-6	IMP4g6	GPI12-NRg-6	yes	double
11999	IMP4g6-RPS5-NRg-5	IMP4g6	RPS5-NRg-5	yes	double
12000	IMP4g6-RPS5-NRg-2	IMP4g6	RPS5-NRg-2	yes	double
12001	IMP4g6-RPC19-NRg-1	IMP4g6	RPC19-NRg-1	yes	double
12002	IMP4g6-TIM54-TRg-1	IMP4g6	TIM54-TRg-1	yes	double
12003	IMP4g6-TEN1-TRg-2	IMP4g6	TEN1-TRg-2	yes	double
12004	IMP4g6-SAH1-NRg-4	IMP4g6	SAH1-NRg-4	yes	double
12005	IMP4g6-SAH1-NRg-5	IMP4g6	SAH1-NRg-5	yes	double
12006	IMP4g6-SAH1-NRg-3	IMP4g6	SAH1-NRg-3	yes	double
12007	IMP4g6-ATP15-NRg-5	IMP4g6	ATP15-NRg-5	yes	double
12008	IMP4g6-SCD5-TRg-5	IMP4g6	SCD5-TRg-5	yes	double
12009	IMP4g6-ARB1-NRg-2	IMP4g6	ARB1-NRg-2	yes	double
12010	IMP4g6-ARB1-NRg-4	IMP4g6	ARB1-NRg-4	yes	double
12011	IMP4g6-PUP2-TRg-1	IMP4g6	PUP2-TRg-1	yes	double
12012	IMP4g6-CCT8-TRg-2	IMP4g6	CCT8-TRg-2	yes	double
12013	IMP4g6-MCM4-TRg-1	IMP4g6	MCM4-TRg-1	yes	double
12014	IMP4g6-LSM4-TRg-1	IMP4g6	LSM4-TRg-1	yes	double
12015	IMP4g6-NOP53-NRg-1	IMP4g6	NOP53-NRg-1	yes	double
12016	IMP4g6-ATP3-TRg-4	IMP4g6	ATP3-TRg-4	yes	double
12017	IMP4g6-AFG2-NRg-3	IMP4g6	AFG2-NRg-3	yes	double
12018	IMP4g6-PRO3-NRg-3	IMP4g6	PRO3-NRg-3	yes	double
12019	IMP4g6-NRD1-NRg-10	IMP4g6	NRD1-NRg-10	yes	double
12020	IMP4g6-SEC61-TRg-2	IMP4g6	SEC61-TRg-2	yes	double
12021	IMP4g6-RHO3-TRg-4	IMP4g6	RHO3-TRg-4	yes	double
12022	IMP4g6-SNF2-TRg-6	IMP4g6	SNF2-TRg-6	yes	double
12023	IMP4g6-SMD2-NRg-3	IMP4g6	SMD2-NRg-3	yes	double
12024	IMP4g6-RSC4-TRg-2	IMP4g6	RSC4-TRg-2	yes	double
12025	IMP4g6-RSC4-TRg-1	IMP4g6	RSC4-TRg-1	yes	double
12026	IMP4g6-TIF34-TRg-2	IMP4g6	TIF34-TRg-2	yes	double
12027	IMP4g6-BET1-NRg-1	IMP4g6	BET1-NRg-1	yes	double
12028	IMP4g6-CDC8-NRg-2	IMP4g6	CDC8-NRg-2	yes	double
12029	IMP4g6-PRP42-TRg-2	IMP4g6	PRP42-TRg-2	yes	double
12030	IMP4g6-RRB1-TRg-2	IMP4g6	RRB1-TRg-2	yes	double
12031	IMP4g6-SPC24-TRg-1	IMP4g6	SPC24-TRg-1	yes	double
12032	IMP4g6-ILS1-NRg-1	IMP4g6	ILS1-NRg-1	yes	double
12033	IMP4g6-GFA1-TRg-2	IMP4g6	GFA1-TRg-2	yes	double
12034	IMP4g6-SEC21-NRg-10	IMP4g6	SEC21-NRg-10	yes	double
12035	IMP4g6-RPC10-NRg-1	IMP4g6	RPC10-NRg-1	yes	double
12036	IMP4g6-RPB10-TRg-3	IMP4g6	RPB10-TRg-3	yes	double
12037	IMP4g6-RPB10-TRg-2	IMP4g6	RPB10-TRg-2	yes	double
12038	IMP4g6-YNL181W-TRg-1	IMP4g6	YNL181W-TRg-1	yes	double
12039	IMP4g6-RAD3-NRg-1	IMP4g6	RAD3-NRg-1	yes	double
12040	IMP4g6-NOP10-TRg-1	IMP4g6	NOP10-TRg-1	yes	double
12041	IMP4g6-BFR2-TRg-3	IMP4g6	BFR2-TRg-3	yes	double
12042	IMP4g6-MCM2-TRg-6	IMP4g6	MCM2-TRg-6	yes	double
12043	IMP4g6-MCM2-TRg-4	IMP4g6	MCM2-TRg-4	yes	double
12044	IMP4g6-MPP10-TRg-1	IMP4g6	MPP10-TRg-1	yes	double
12045	IMP4g6-RET2-TRg-4	IMP4g6	RET2-TRg-4	yes	double
12046	IMP4g6-RET2-TRg-1	IMP4g6	RET2-TRg-1	yes	double
12047	IMP4g6-RPS2-NRg-1	IMP4g6	RPS2-NRg-1	yes	double
12048	IMP4g6-RPS2-NRg-2	IMP4g6	RPS2-NRg-2	yes	double
12049	IMP4g6-ORC4-NRg-3	IMP4g6	ORC4-NRg-3	yes	double
12050	IMP4g6-TIP20-TRg-7	IMP4g6	TIP20-TRg-7	yes	double
12051	IMP4g6-SMT3-TRg-1	IMP4g6	SMT3-TRg-1	yes	double
12052	IMP4g6-MSS18-NRg-6	IMP4g6	MSS18-NRg-6	yes	double
12053	IMP4g6-YEF3-NRg-9	IMP4g6	YEF3-NRg-9	yes	double
12054	IMP4g6-ASK1-NRg-1	IMP4g6	ASK1-NRg-1	yes	double
12055	IMP4g6-SMC1-TRg-1	IMP4g6	SMC1-TRg-1	yes	double
12056	IMP4g6-NIP1-NRg-1	IMP4g6	NIP1-NRg-1	yes	double
12057	IMP4g6-RPP1-NRg-1	IMP4g6	RPP1-NRg-1	yes	double
12058	IMP4g6-YDJ1-TRg-6	IMP4g6	YDJ1-TRg-6	yes	double
12059	IMP4g6-SUB2-NRg-1	IMP4g6	SUB2-NRg-1	yes	double
12060	IMP4g6-TIM10-NRg-8	IMP4g6	TIM10-NRg-8	yes	double
12061	IMP4g6-TIM10-NRg-4	IMP4g6	TIM10-NRg-4	yes	double
12062	IMP4g6-TIM10-NRg-7	IMP4g6	TIM10-NRg-7	yes	double
12063	IMP4g6-SKI6-TRg-4	IMP4g6	SKI6-TRg-4	yes	double
12064	IMP4g6-TUB4-TRg-1	IMP4g6	TUB4-TRg-1	yes	double
12065	IMP4g6-CDC37-NRg-2	IMP4g6	CDC37-NRg-2	yes	double
12066	IMP4g6-ISD11-TRg-3	IMP4g6	ISD11-TRg-3	yes	double
12067	IMP4g6-YOS1-TRg-4	IMP4g6	YOS1-TRg-4	yes	double
12068	IMP4g6-SSC1-TRg-6	IMP4g6	SSC1-TRg-6	yes	double
12069	IMP4g6-MTR3-TRg-5	IMP4g6	MTR3-TRg-5	yes	double
12070	IMP4g6-MTR3-TRg-6	IMP4g6	MTR3-TRg-6	yes	double
12071	IMP4g6-TFA1-TRg-2	IMP4g6	TFA1-TRg-2	yes	double
12072	IMP4g6-CDC3-NRg-3	IMP4g6	CDC3-NRg-3	yes	double
12073	IMP4g6-ERG25-TA-18	IMP4g6	ERG25-TA-18	yes	double
12074	IMP4g6-RPB11-TRg-4	IMP4g6	RPB11-TRg-4	yes	double
12075	IMP4g6-RPB11-TRg-1	IMP4g6	RPB11-TRg-1	yes	double
12076	IMP4g6-RPB11-TRg-2	IMP4g6	RPB11-TRg-2	yes	double
12077	IMP4g6-DED1-TRg-3	IMP4g6	DED1-TRg-3	yes	double
12078	IMP4g6-DED1-TRg-1	IMP4g6	DED1-TRg-1	yes	double
12079	IMP4g6-DED1-TRg-6	IMP4g6	DED1-TRg-6	yes	double
12080	IMP4g6-DED1-TRg-4	IMP4g6	DED1-TRg-4	yes	double
12081	IMP4g6-RPL10-NRg-5	IMP4g6	RPL10-NRg-5	yes	double
12082	IMP4g6-RPL10-NRg-4	IMP4g6	RPL10-NRg-4	yes	double
12083	IMP4g6-EFB1-NRg-1	IMP4g6	EFB1-NRg-1	yes	double
12084	IMP4g6-EFB1-NRg-5	IMP4g6	EFB1-NRg-5	yes	double
12085	IMP4g6-EFB1-NRg-4	IMP4g6	EFB1-NRg-4	yes	double
12086	IMP4g6-RPT3-NRg-1	IMP4g6	RPT3-NRg-1	yes	double
12087	IMP4g6-SAC6-TRg-8	IMP4g6	SAC6-TRg-8	yes	double
12088	IMP4g6-SAC6-TRg-4	IMP4g6	SAC6-TRg-4	yes	double
12089	IMP4g6-SAC6-TRg-5	IMP4g6	SAC6-TRg-5	yes	double
12090	IMP4g6-SAC6-TRg-3	IMP4g6	SAC6-TRg-3	yes	double
12091	IMP4g6-DIM1-TRg-5	IMP4g6	DIM1-TRg-5	yes	double
12092	IMP4g6-DIM1-TRg-7	IMP4g6	DIM1-TRg-7	yes	double
12093	IMP4g6-RPC17-NRg-1	IMP4g6	RPC17-NRg-1	yes	double
12094	IMP4g6-RPC17-NRg-2	IMP4g6	RPC17-NRg-2	yes	double
12095	IMP4g6-YDR341C-TRg-1	IMP4g6	YDR341C-TRg-1	yes	double
12096	IMP4g6-RAP1-NRg-8	IMP4g6	RAP1-NRg-8	yes	double
12097	IMP4g6-RAP1-NRg-5	IMP4g6	RAP1-NRg-5	yes	double
12098	IMP4g6-RAP1-NRg-2	IMP4g6	RAP1-NRg-2	yes	double
12099	IMP4g6-SEC26-NRg-3	IMP4g6	SEC26-NRg-3	yes	double
12100	IMP4g6-SPP41-TRg-3	IMP4g6	SPP41-TRg-3	yes	double
12101	IMP4g6-TAP42-NRg-1	IMP4g6	TAP42-NRg-1	yes	double
12102	IMP4g6-PGA2-TRg-6	IMP4g6	PGA2-TRg-6	yes	double
12103	IMP4g6-BRL1-TRg-1	IMP4g6	BRL1-TRg-1	yes	double
12104	IMP4g6-FOL2-TRg-1	IMP4g6	FOL2-TRg-1	yes	double
12105	IMP4g6-NAB3-NRg-5	IMP4g6	NAB3-NRg-5	yes	double
12106	IMP4g6-SNF4-TRg-4	IMP4g6	SNF4-TRg-4	yes	double
12107	IMP4g6-HRR25-TRg-2	IMP4g6	HRR25-TRg-2	yes	double
12108	IMP4g6-TRS23-TRg-4	IMP4g6	TRS23-TRg-4	yes	double
12109	IMP4g6-CTR86-TRg-4	IMP4g6	CTR86-TRg-4	yes	double
12110	IMP4g6-RPB5-TRg-5	IMP4g6	RPB5-TRg-5	yes	double
12111	IMP4g6-SPN1-NRg-2	IMP4g6	SPN1-NRg-2	yes	double
12112	IMP4g6-SPN1-NRg-1	IMP4g6	SPN1-NRg-1	yes	double
12113	IMP4g6-SEC61-NRg-1	IMP4g6	SEC61-NRg-1	yes	double
12114	IMP4g6-SEC61-NRg-7	IMP4g6	SEC61-NRg-7	yes	double
12115	IMP4g6-TUS1-TRg-3	IMP4g6	TUS1-TRg-3	yes	double
12116	IMP4g6-OLE1-NRg-2	IMP4g6	OLE1-NRg-2	yes	double
12117	IMP4g6-AFG2-TRg-1	IMP4g6	AFG2-TRg-1	yes	double
12118	IMP4g6-TOA2-NRg-1	IMP4g6	TOA2-NRg-1	yes	double
12119	IMP4g6-USO1-TRg-1	IMP4g6	USO1-TRg-1	yes	double
12120	IMP4g6-UTP22-NRg-2	IMP4g6	UTP22-NRg-2	yes	double
12121	IMP4g6-RIB1-TRg-3	IMP4g6	RIB1-TRg-3	yes	double
12122	IMP4g6-RIB1-TRg-7	IMP4g6	RIB1-TRg-7	yes	double
12123	IMP4g6-RIB1-TRg-4	IMP4g6	RIB1-TRg-4	yes	double
12124	IMP4g6-COG1-TRg-1	IMP4g6	COG1-TRg-1	yes	double
12125	IMP4g6-RPL32-NRg-2	IMP4g6	RPL32-NRg-2	yes	double
12126	IMP4g6-GLC7-NRg-3	IMP4g6	GLC7-NRg-3	yes	double
12127	IMP4g6-GLC7-NRg-4	IMP4g6	GLC7-NRg-4	yes	double
12128	IMP4g6-HSF1-TRg-2	IMP4g6	HSF1-TRg-2	yes	double
12129	IMP4g6-DAM1-NRg-5	IMP4g6	DAM1-NRg-5	yes	double
12130	IMP4g6-SEC18-TRg-4	IMP4g6	SEC18-TRg-4	yes	double
12131	IMP4g6-SEC18-TRg-5	IMP4g6	SEC18-TRg-5	yes	double
12132	IMP4g6-PAB1-NRg-3	IMP4g6	PAB1-NRg-3	yes	double
12133	IMP4g6-POP8-TRg-2	IMP4g6	POP8-TRg-2	yes	double
12134	IMP4g6-PAB1-NRg-4	IMP4g6	PAB1-NRg-4	yes	double
12135	IMP4g6-BIG1-TRg-4	IMP4g6	BIG1-TRg-4	yes	double
12136	IMP4g6-BIG1-TRg-5	IMP4g6	BIG1-TRg-5	yes	double
12137	IMP4g6-BIG1-TRg-6	IMP4g6	BIG1-TRg-6	yes	double
12138	IMP4g6-RPO41-NRg-1	IMP4g6	RPO41-NRg-1	yes	double
12139	IMP4g6-RVB2-NRg-2	IMP4g6	RVB2-NRg-2	yes	double
12140	IMP4g6-PET117-NRg-8	IMP4g6	PET117-NRg-8	yes	double
12141	IMP4g6-VPS45-NRg-9	IMP4g6	VPS45-NRg-9	yes	double
12142	IMP4g6-YCG1-NRg-1	IMP4g6	YCG1-NRg-1	yes	double
12143	IMP4g6-NOC4-NRg-1	IMP4g6	NOC4-NRg-1	yes	double
12144	IMP4g6-NMD3-NRg-2	IMP4g6	NMD3-NRg-2	yes	double
12145	IMP4g6-DRS1-TRg-2	IMP4g6	DRS1-TRg-2	yes	double
12146	IMP4g6-HTB1-NRg-2	IMP4g6	HTB1-NRg-2	yes	double
12147	IMP4g6-IPI1-TRg-2	IMP4g6	IPI1-TRg-2	yes	double
12148	IMP4g6-SEC18-NRg-1	IMP4g6	SEC18-NRg-1	yes	double
12149	IMP4g6-SEC18-NRg-2	IMP4g6	SEC18-NRg-2	yes	double
12150	IMP4g6-JIP5-NRg-2	IMP4g6	JIP5-NRg-2	yes	double
12151	IMP4g6-YPT1-TRg-3	IMP4g6	YPT1-TRg-3	yes	double
12152	IMP4g6-YPT1-TRg-2	IMP4g6	YPT1-TRg-2	yes	double
12153	IMP4g6-CLF1-NRg-2	IMP4g6	CLF1-NRg-2	yes	double
12154	IMP4g6-SNF2-NRg-7	IMP4g6	SNF2-NRg-7	yes	double
12155	IMP4g6-SNF2-NRg-4	IMP4g6	SNF2-NRg-4	yes	double
12156	IMP4g6-RPL25-NRg-1	IMP4g6	RPL25-NRg-1	yes	double
12157	IMP4g6-NOP56-TRg-1	IMP4g6	NOP56-TRg-1	yes	double
12158	IMP4g6-NOP56-TRg-2	IMP4g6	NOP56-TRg-2	yes	double
12159	IMP4g6-TRS31-TRg-1	IMP4g6	TRS31-TRg-1	yes	double
12160	IMP4g6-DBF4-TRg-2	IMP4g6	DBF4-TRg-2	yes	double
12161	IMP4g6-DBF4-TRg-1	IMP4g6	DBF4-TRg-1	yes	double
12162	IMP4g6-RPC19-TRg-4	IMP4g6	RPC19-TRg-4	yes	double
12163	IMP4g6-RPC19-TRg-6	IMP4g6	RPC19-TRg-6	yes	double
12164	IMP4g6-RPC19-TRg-3	IMP4g6	RPC19-TRg-3	yes	double
12165	IMP4g6-ROK1-NRg-1	IMP4g6	ROK1-NRg-1	yes	double
12166	IMP4g6-CDC33-TRg-4	IMP4g6	CDC33-TRg-4	yes	double
12167	IMP4g6-DHR2-TRg-3	IMP4g6	DHR2-TRg-3	yes	double
12168	IMP4g6-RRP42-NRg-5	IMP4g6	RRP42-NRg-5	yes	double
12169	IMP4g6-CLF1-TRg-1	IMP4g6	CLF1-TRg-1	yes	double
12170	IMP4g6-ERG11-NA-16	IMP4g6	ERG11-NA-16	yes	double
12171	IMP4g6-VAS1-NRg-4	IMP4g6	VAS1-NRg-4	yes	double
12172	IMP4g6-PIK1-NRg-2	IMP4g6	PIK1-NRg-2	yes	double
12173	IMP4g6-SAR1-NRg-7	IMP4g6	SAR1-NRg-7	yes	double
12174	IMP4g6-SAR1-NRg-4	IMP4g6	SAR1-NRg-4	yes	double
12175	IMP4g6-RPS3-TRg-1	IMP4g6	RPS3-TRg-1	yes	double
12176	IMP4g6-YTM1-TRg-2	IMP4g6	YTM1-TRg-2	yes	double
12177	IMP4g6-SUI3-NRg-5	IMP4g6	SUI3-NRg-5	yes	double
12178	IMP4g6-SUI3-NRg-2	IMP4g6	SUI3-NRg-2	yes	double
12179	IMP4g6-RRP7-TRg-4	IMP4g6	RRP7-TRg-4	yes	double
12180	IMP4g6-RRP7-TRg-6	IMP4g6	RRP7-TRg-6	yes	double
12181	IMP4g6-NIP7-TRg-2	IMP4g6	NIP7-TRg-2	yes	double
12182	IMP4g6-MDM35-TRg-1	IMP4g6	MDM35-TRg-1	yes	double
12183	IMP4g6-ALA1-NRg-1	IMP4g6	ALA1-NRg-1	yes	double
12184	IMP4g6-DOA4-NRg-2	IMP4g6	DOA4-NRg-2	yes	double
12185	IMP4g6-RPS13-NRg-1	IMP4g6	RPS13-NRg-1	yes	double
12186	IMP4g6-YSF3-TRg-2	IMP4g6	YSF3-TRg-2	yes	double
12187	IMP4g6-RPS2-NRg-11	IMP4g6	RPS2-NRg-11	yes	double
12188	IMP4g6-SSL1-TRg-10	IMP4g6	SSL1-TRg-10	yes	double
12189	IMP4g6-NIP7-TRg-1	IMP4g6	NIP7-TRg-1	yes	double
12190	IMP4g6-LST8-NRg-1	IMP4g6	LST8-NRg-1	yes	double
12191	IMP4g6-TAF4-TRg-3	IMP4g6	TAF4-TRg-3	yes	double
12192	IMP4g6-HAS1-TRg-2	IMP4g6	HAS1-TRg-2	yes	double
12193	IMP4g6-GLC7-TRg-2	IMP4g6	GLC7-TRg-2	yes	double
12194	IMP4g6-CDC45-NRg-1	IMP4g6	CDC45-NRg-1	yes	double
12195	IMP4g6-SEC22-NRg-8	IMP4g6	SEC22-NRg-8	yes	double
12196	IMP4g6-YOS1-TRg-2	IMP4g6	YOS1-TRg-2	yes	double
12197	IMP4g6-RBA50-TRg-3	IMP4g6	RBA50-TRg-3	yes	double
12198	IMP4g6-SPP41-NRg-2	IMP4g6	SPP41-NRg-2	yes	double
12199	IMP4g6-PRP46-TRg-2	IMP4g6	PRP46-TRg-2	yes	double
12200	IMP4g6-PGA2-NRg-1	IMP4g6	PGA2-NRg-1	yes	double
12201	IMP4g6-CBF5-TRg-3	IMP4g6	CBF5-TRg-3	yes	double
12202	IMP4g6-TCP1-NRg-3	IMP4g6	TCP1-NRg-3	yes	double
12203	IMP4g6-TCP1-NRg-2	IMP4g6	TCP1-NRg-2	yes	double
12204	IMP4g6-ERG26-NRg-2	IMP4g6	ERG26-NRg-2	yes	double
12205	IMP4g6-ERG26-NRg-4	IMP4g6	ERG26-NRg-4	yes	double
12206	IMP4g6-MES1-TRg-5	IMP4g6	MES1-TRg-5	yes	double
12207	IMP4g6-HTS1-TRg-2	IMP4g6	HTS1-TRg-2	yes	double
12208	IMP4g6-SSS1-TRg-3	IMP4g6	SSS1-TRg-3	yes	double
12209	IMP4g6-SSS1-TRg-2	IMP4g6	SSS1-TRg-2	yes	double
12210	IMP4g6-SYS1-TRg-7	IMP4g6	SYS1-TRg-7	yes	double
12211	IMP4g6-SYS1-TRg-2	IMP4g6	SYS1-TRg-2	yes	double
12212	IMP4g6-SYS1-TRg-1	IMP4g6	SYS1-TRg-1	yes	double
12213	IMP4g6-BFR2-TRg-1	IMP4g6	BFR2-TRg-1	yes	double
12214	IMP4g6-EOS1-TRg-3	IMP4g6	EOS1-TRg-3	yes	double
12215	IMP4g6-TAF4-NRg-1	IMP4g6	TAF4-NRg-1	yes	double
12216	IMP4g6-ARL3-NRg-8	IMP4g6	ARL3-NRg-8	yes	double
12217	IMP4g6-RPN5-NRg-1	IMP4g6	RPN5-NRg-1	yes	double
12218	IMP4g6-TIM9-NRg-2	IMP4g6	TIM9-NRg-2	yes	double
12219	IMP4g6-NUP57-NRg-3	IMP4g6	NUP57-NRg-3	yes	double
12220	IMP4g6-VPS4-TRg-1	IMP4g6	VPS4-TRg-1	yes	double
12221	IMP4g6-CDC3-TRg-4	IMP4g6	CDC3-TRg-4	yes	double
12222	IMP4g6-BBP1-NRg-1	IMP4g6	BBP1-NRg-1	yes	double
12223	IMP4g6-BBP1-NRg-2	IMP4g6	BBP1-NRg-2	yes	double
12224	IMP4g6-USE1-NRg-3	IMP4g6	USE1-NRg-3	yes	double
12225	IMP4g6-CCT7-TRg-1	IMP4g6	CCT7-TRg-1	yes	double
12226	IMP4g6-SAH1-TRg-3	IMP4g6	SAH1-TRg-3	yes	double
12227	IMP4g6-CHS2-TRg-1	IMP4g6	CHS2-TRg-1	yes	double
12228	IMP4g6-DPM1-TRg-2	IMP4g6	DPM1-TRg-2	yes	double
12229	IMP4g6-BBP1-TRg-1	IMP4g6	BBP1-TRg-1	yes	double
12230	IMP4g6-NRD1-TRg-4	IMP4g6	NRD1-TRg-4	yes	double
12231	IMP4g6-RPB3-NRg-1	IMP4g6	RPB3-NRg-1	yes	double
12232	IMP4g6-PHO85-NRg-6	IMP4g6	PHO85-NRg-6	yes	double
12233	IMP4g6-SNF6-TRg-6	IMP4g6	SNF6-TRg-6	yes	double
12234	IMP4g6-PRP38-NRg-2	IMP4g6	PRP38-NRg-2	yes	double
12235	IMP4g6-OAR1-NRg-3	IMP4g6	OAR1-NRg-3	yes	double
12236	IMP4g6-ROX3-NRg-1	IMP4g6	ROX3-NRg-1	yes	double
12237	IMP4g6-YPP1-TRg-6	IMP4g6	YPP1-TRg-6	yes	double
12238	IMP4g6-CBF2-NRg-8	IMP4g6	CBF2-NRg-8	yes	double
12239	IMP4g6-SPT6-TRg-5	IMP4g6	SPT6-TRg-5	yes	double
12240	IMP4g6-SEC10-NRg-1	IMP4g6	SEC10-NRg-1	yes	double
12241	IMP4g6-NSL1-NRg-3	IMP4g6	NSL1-NRg-3	yes	double
12242	IMP4g6-NRD1-NRg-8	IMP4g6	NRD1-NRg-8	yes	double
12243	IMP4g6-RPB3-TRg-1	IMP4g6	RPB3-TRg-1	yes	double
12244	IMP4g6-NRD1-NRg-4	IMP4g6	NRD1-NRg-4	yes	double
12245	IMP4g6-RVB1-TRg-2	IMP4g6	RVB1-TRg-2	yes	double
12246	IMP4g6-TIF5-NRg-8	IMP4g6	TIF5-NRg-8	yes	double
12247	IMP4g6-EOS1-NRg-1	IMP4g6	EOS1-NRg-1	yes	double
12248	IMP4g6-ERG25-NA-26	IMP4g6	ERG25-NA-26	yes	double
12249	IMP4g6-MSL5-NRg-4	IMP4g6	MSL5-NRg-4	yes	double
12250	IMP4g6-SEC24-TRg-2	IMP4g6	SEC24-TRg-2	yes	double
12251	IMP4g6-RPL30-NRg-5	IMP4g6	RPL30-NRg-5	yes	double
12252	IMP4g6-SNU71-NRg-3	IMP4g6	SNU71-NRg-3	yes	double
12253	IMP4g6-CDC33-NRg-1	IMP4g6	CDC33-NRg-1	yes	double
12254	IMP4g6-RPN6-TRg-4	IMP4g6	RPN6-TRg-4	yes	double
12255	IMP4g6-NAB2-TRg-4	IMP4g6	NAB2-TRg-4	yes	double
12256	IMP4g6-NAB2-TRg-6	IMP4g6	NAB2-TRg-6	yes	double
12257	IMP4g6-YTM1-NRg-1	IMP4g6	YTM1-NRg-1	yes	double
12258	IMP4g6-OLE1-TRg-8	IMP4g6	OLE1-TRg-8	yes	double
12259	IMP4g6-OLE1-TRg-1	IMP4g6	OLE1-TRg-1	yes	double
12260	IMP4g6-UTP7-TRg-4	IMP4g6	UTP7-TRg-4	yes	double
12261	IMP4g6-ACT1-NRg-6	IMP4g6	ACT1-NRg-6	yes	double
12262	IMP4g6-RPL18A-NRg-3	IMP4g6	RPL18A-NRg-3	yes	double
12263	IMP4g6-BRX1-NRg-1	IMP4g6	BRX1-NRg-1	yes	double
12264	IMP4g6-NAF1-TRg-8	IMP4g6	NAF1-TRg-8	yes	double
12265	IMP4g6-NAF1-TRg-6	IMP4g6	NAF1-TRg-6	yes	double
12266	IMP4g6-NAF1-TRg-4	IMP4g6	NAF1-TRg-4	yes	double
12267	IMP4g6-CDC8-TRg-2	IMP4g6	CDC8-TRg-2	yes	double
12268	IMP4g6-NSE4-TRg-1	IMP4g6	NSE4-TRg-1	yes	double
12269	IMP4g6-PAB1-NRg-2	IMP4g6	PAB1-NRg-2	yes	double
12270	IMP4g6-PRP43-TRg-4	IMP4g6	PRP43-TRg-4	yes	double
12271	IMP4g6-SEC2-NRg-3	IMP4g6	SEC2-NRg-3	yes	double
12272	IMP4g6-SEC2-NRg-6	IMP4g6	SEC2-NRg-6	yes	double
12273	IMP4g6-MPP10-NRg-5	IMP4g6	MPP10-NRg-5	yes	double
12274	IMP4g6-YDR355C-TRg-2	IMP4g6	YDR355C-TRg-2	yes	double
12275	IMP4g6-YLR339C-TRg-9	IMP4g6	YLR339C-TRg-9	yes	double
12276	IMP4g6-SNM1-TRg-2	IMP4g6	SNM1-TRg-2	yes	double
12277	IMP4g6-ALR1-NRg-4	IMP4g6	ALR1-NRg-4	yes	double
12278	IMP4g6-ALR1-NRg-1	IMP4g6	ALR1-NRg-1	yes	double
12279	IMP4g6-ALR1-NRg-3	IMP4g6	ALR1-NRg-3	yes	double
12280	IMP4g6-RPL10-TRg-1	IMP4g6	RPL10-TRg-1	yes	double
12281	IMP4g6-RPL28-TRg-2	IMP4g6	RPL28-TRg-2	yes	double
12282	IMP4g6-UTP25-TRg-1	IMP4g6	UTP25-TRg-1	yes	double
12283	IMP4g6-POB3-TRg-1	IMP4g6	POB3-TRg-1	yes	double
12284	IMP4g6-POB3-TRg-3	IMP4g6	POB3-TRg-3	yes	double
12285	IMP4g6-POB3-TRg-2	IMP4g6	POB3-TRg-2	yes	double
12286	IMP4g6-MED11-TRg-1	IMP4g6	MED11-TRg-1	yes	double
12287	IMP4g6-ISA1-TRg-15	IMP4g6	ISA1-TRg-15	yes	double
12288	IMP4g6-RRP1-NRg-1	IMP4g6	RRP1-NRg-1	yes	double
12289	IMP4g6-MES1-NRg-1	IMP4g6	MES1-NRg-1	yes	double
12290	IMP4g6-SEC13-NRg-5	IMP4g6	SEC13-NRg-5	yes	double
12291	IMP4g6-MCM2-NRg-2	IMP4g6	MCM2-NRg-2	yes	double
12292	IMP4g6-ALA1-TRg-4	IMP4g6	ALA1-TRg-4	yes	double
12293	IMP4g6-MTG2-TRg-5	IMP4g6	MTG2-TRg-5	yes	double
12294	IMP4g6-TIF35-NRg-3	IMP4g6	TIF35-NRg-3	yes	double
12295	IMP4g6-NSE1-TRg-3	IMP4g6	NSE1-TRg-3	yes	double
12296	IMP4g6-NSE1-TRg-4	IMP4g6	NSE1-TRg-4	yes	double
12297	IMP4g6-MOB2-NRg-6	IMP4g6	MOB2-NRg-6	yes	double
12298	IMP4g6-VRG4-NRg-3	IMP4g6	VRG4-NRg-3	yes	double
12299	IMP4g6-PRP9-TRg-3	IMP4g6	PRP9-TRg-3	yes	double
12300	IMP4g6-HYM1-TRg-5	IMP4g6	HYM1-TRg-5	yes	double
12301	IMP4g6-POP1-TRg-5	IMP4g6	POP1-TRg-5	yes	double
12302	IMP4g6-POP1-TRg-9	IMP4g6	POP1-TRg-9	yes	double
12303	IMP4g6-RPL17A-TRg-1	IMP4g6	RPL17A-TRg-1	yes	double
12304	IMP4g6-SLD2-TRg-1	IMP4g6	SLD2-TRg-1	yes	double
12305	IMP4g6-CDC48-NRg-7	IMP4g6	CDC48-NRg-7	yes	double
12306	IMP4g6-FHL1-NRg-2	IMP4g6	FHL1-NRg-2	yes	double
12307	IMP4g6-BET3-NRg-7	IMP4g6	BET3-NRg-7	yes	double
12308	IMP4g6-MAK21-TRg-1	IMP4g6	MAK21-TRg-1	yes	double
12309	IMP4g6-BRN1-TRg-4	IMP4g6	BRN1-TRg-4	yes	double
12310	IMP4g6-FBA1-NRg-3	IMP4g6	FBA1-NRg-3	yes	double
12311	IMP4g6-CDC42-TRg-6	IMP4g6	CDC42-TRg-6	yes	double
12312	IMP4g6-CDC42-TRg-7	IMP4g6	CDC42-TRg-7	yes	double
12313	IMP4g6-COG4-NRg-1	IMP4g6	COG4-NRg-1	yes	double
12314	IMP4g6-ATP3-NRg-3	IMP4g6	ATP3-NRg-3	yes	double
12315	IMP4g6-ATP3-NRg-2	IMP4g6	ATP3-NRg-2	yes	double
