row	strain	query	array	present	category
169	PRE4g3-CC36	PRE4g3	CC36	yes	single
170	PRE4g3-CC11	PRE4g3	CC11	yes	single
171	PRE4g3-CC14	PRE4g3	CC14	no	single
172	PRE4g3-CC15	PRE4g3	CC15	no	single
173	PRE4g3-CC2	PRE4g3	CC2	no	single
174	PRE4g3-CC22	PRE4g3	CC22	yes	single
175	PRE4g3-CC26	PRE4g3	CC26	yes	single
176	PRE4g3-CC7	PRE4g3	CC7	yes	single
177	RPN5g1-CC5	RPN5g1	CC5	no	single
178	RPN5g1-CC8	RPN5g1	CC8	yes	single
179	RPN5g1-CC16	RPN5g1	CC16	no	single
180	RPN5g1-CC17	RPN5g1	CC17	yes	single
181	RPN5g1-CC19	RPN5g1	CC19	yes	single
182	RPN5g1-CC20	RPN5g1	CC20	yes	single
183	RPN5g1-CC23	RPN5g1	CC23	yes	single
184	RPN5g1-CC25	RPN5g1	CC25	yes	single
185	RPN5g1-CC27	RPN5g1	CC27	yes	single
186	RPN5g1-CC28	RPN5g1	CC28	yes	single
187	RPN5g1-CC30	RPN5g1	CC30	yes	single
188	RPN5g1-CC32	RPN5g1	CC32	yes	single
189	RPN5g1-CC34	RPN5g1	CC34	yes	single
190	RPN5g1-CC35	RPN5g1	CC35	yes	single
191	RPN5g1-CC36	RPN5g1	CC36	yes	single
192	RPN5g1-CC11	RPN5g1	CC11	yes	single
193	RPN5g1-CC14	RPN5g1	CC14	no	single
194	RPN5g1-CC15	RPN5g1	CC15	no	single
195	RPN5g1-CC2	RPN5g1	CC2	no	single
196	RPN5g1-CC22	RPN5g1	CC22	yes	single
197	RPN5g1-CC26	RPN5g1	CC26	yes	single
198	RPN5g1-CC7	RPN5g1	CC7	yes	single
199	COG3g1-CC5	COG3g1	CC5	yes	single
200	COG3g1-CC8	COG3g1	CC8	no	single
201	COG3g1-CC16	COG3g1	CC16	yes	single
202	COG3g1-CC17	COG3g1	CC17	no	single
203	COG3g1-CC19	COG3g1	CC19	no	single
204	COG3g1-CC20	COG3g1	CC20	no	single
205	COG3g1-CC23	COG3g1	CC23	no	single
206	COG3g1-CC25	COG3g1	CC25	no	single
207	COG3g1-CC27	COG3g1	CC27	no	single
208	COG3g1-CC28	COG3g1	CC28	no	single
209	COG3g1-CC30	COG3g1	CC30	no	single
210	COG3g1-CC32	COG3g1	CC32	no	single
211	COG3g1-CC34	COG3g1	CC34	no	single
212	COG3g1-CC35	COG3g1	CC35	no	single
213	COG3g1-CC36	COG3g1	CC36	no	single
214	COG3g1-CC11	COG3g1	CC11	no	single
215	COG3g1-CC14	COG3g1	CC14	yes	single
216	COG3g1-CC15	COG3g1	CC15	yes	single
217	COG3g1-CC2	COG3g1	CC2	yes	single
218	COG3g1-CC22	COG3g1	CC22	no	single
219	COG3g1-CC26	COG3g1	CC26	no	single
220	COG3g1-CC7	COG3g1	CC7	no	single
221	SED5g5-CC5	SED5g5	CC5	yes	single
222	SED5g5-CC8	SED5g5	CC8	no	single
223	SED5g5-CC16	SED5g5	CC16	yes	single
224	SED5g5-CC17	SED5g5	CC17	no	single
225	SED5g5-CC19	SED5g5	CC19	no	single
226	SED5g5-CC20	SED5g5	CC20	no	single
227	SED5g5-CC23	SED5g5	CC23	no	single
228	SED5g5-CC25	SED5g5	CC25	no	single
229	SED5g5-CC27	SED5g5	CC27	no	single
230	SED5g5-CC28	SED5g5	CC28	no	single
231	SED5g5-CC30	SED5g5	CC30	no	single
232	SED5g5-CC32	SED5g5	CC32	no	single
233	SED5g5-CC34	SED5g5	CC34	no	single
234	SED5g5-CC35	SED5g5	CC35	no	single
235	SED5g5-CC36	SED5g5	CC36	no	single
236	SED5g5-CC11	SED5g5	CC11	no	single
237	SED5g5-CC14	SED5g5	CC14	yes	single
238	SED5g5-CC15	SED5g5	CC15	yes	single
239	SED5g5-CC2	SED5g5	CC2	yes	single
240	SED5g5-CC22	SED5g5	CC22	no	single
241	SED5g5-CC26	SED5g5	CC26	no	single
242	SED5g5-CC7	SED5g5	CC7	no	single
243	SEC22g1-CC5	SEC22g1	CC5	no	single
244	SEC22g1-CC8	SEC22g1	CC8	yes	single
245	SEC22g1-CC16	SEC22g1	CC16	no	single
246	SEC22g1-CC17	SEC22g1	CC17	yes	single
247	SEC22g1-CC19	SEC22g1	CC19	yes	single
248	SEC22g1-CC20	SEC22g1	CC20	yes	single
249	SEC22g1-CC23	SEC22g1	CC23	yes	single
250	SEC22g1-CC25	SEC22g1	CC25	yes	single
251	SEC22g1-CC27	SEC22g1	CC27	yes	single
252	SEC22g1-CC28	SEC22g1	CC28	yes	single
253	SEC22g1-CC30	SEC22g1	CC30	yes	single
254	SEC22g1-CC32	SEC22g1	CC32	yes	single
255	SEC22g1-CC34	SEC22g1	CC34	yes	single
256	SEC22g1-CC35	SEC22g1	CC35	yes	single
257	SEC22g1-CC36	SEC22g1	CC36	yes	single
258	SEC22g1-CC11	SEC22g1	CC11	yes	single
259	SEC22g1-CC14	SEC22g1	CC14	no	single
260	SEC22g1-CC15	SEC22g1	CC15	no	single
261	SEC22g1-CC2	SEC22g1	CC2	no	single
262	SEC22g1-CC22	SEC22g1	CC22	yes	single
263	SEC22g1-CC26	SEC22g1	CC26	yes	single
264	SEC22g1-CC7	SEC22g1	CC7	yes	single
265	SEC22g2-CC5	SEC22g2	CC5	no	single
266	SEC22g2-CC8	SEC22g2	CC8	yes	single
267	SEC22g2-CC16	SEC22g2	CC16	no	single
268	SEC22g2-CC17	SEC22g2	CC17	yes	single
269	SEC22g2-CC19	SEC22g2	CC19	yes	single
270	SEC22g2-CC20	SEC22g2	CC20	yes	single
271	SEC22g2-CC23	SEC22g2	CC23	yes	single
272	SEC22g2-CC25	SEC22g2	CC25	yes	single
273	SEC22g2-CC27	SEC22g2	CC27	yes	single
274	SEC22g2-CC28	SEC22g2	CC28	yes	single
275	SEC22g2-CC30	SEC22g2	CC30	yes	single
276	SEC22g2-CC32	SEC22g2	CC32	yes	single
277	SEC22g2-CC34	SEC22g2	CC34	yes	single
278	SEC22g2-CC35	SEC22g2	CC35	yes	single
279	SEC22g2-CC36	SEC22g2	CC36	yes	single
280	SEC22g2-CC11	SEC22g2	CC11	yes	single
281	SEC22g2-CC14	SEC22g2	CC14	no	single
282	SEC22g2-CC15	SEC22g2	CC15	no	single
283	SEC22g2-CC2	SEC22g2	CC2	no	single
284	SEC22g2-CC22	SEC22g2	CC22	yes	single
285	SEC22g2-CC26	SEC22g2	CC26	yes	single
286	SEC22g2-CC7	SEC22g2	CC7	yes	single
287	COG8g2-CC5	COG8g2	CC5	yes	single
288	COG8g2-CC8	COG8g2	CC8	yes	single
289	COG8g2-CC16	COG8g2	CC16	yes	single
290	COG8g2-CC17	COG8g2	CC17	yes	single
291	COG8g2-CC19	COG8g2	CC19	yes	single
292	COG8g2-CC20	COG8g2	CC20	yes	single
293	COG8g2-CC23	COG8g2	CC23	yes	single
294	COG8g2-CC25	COG8g2	CC25	yes	single
295	COG8g2-CC27	COG8g2	CC27	yes	single
296	COG8g2-CC28	COG8g2	CC28	yes	single
297	COG8g2-CC30	COG8g2	CC30	yes	single
298	COG8g2-CC32	COG8g2	CC32	yes	single
299	COG8g2-CC34	COG8g2	CC34	yes	single
300	COG8g2-CC35	COG8g2	CC35	yes	single
301	COG8g2-CC36	COG8g2	CC36	yes	single
302	COG8g2-CC11	COG8g2	CC11	yes	single
303	COG8g2-CC14	COG8g2	CC14	yes	single
304	COG8g2-CC15	COG8g2	CC15	yes	single
305	COG8g2-CC2	COG8g2	CC2	yes	single
306	COG8g2-CC22	COG8g2	CC22	yes	single
307	COG8g2-CC26	COG8g2	CC26	yes	single
308	COG8g2-CC7	COG8g2	CC7	yes	single
309	GET2g2-CC5	GET2g2	CC5	no	single
310	GET2g2-CC8	GET2g2	CC8	yes	single
311	GET2g2-CC16	GET2g2	CC16	no	single
312	GET2g2-CC17	GET2g2	CC17	yes	single
313	GET2g2-CC19	GET2g2	CC19	yes	single
314	GET2g2-CC20	GET2g2	CC20	yes	single
315	GET2g2-CC23	GET2g2	CC23	yes	single
316	GET2g2-CC25	GET2g2	CC25	yes	single
317	GET2g2-CC27	GET2g2	CC27	yes	single
318	GET2g2-CC28	GET2g2	CC28	yes	single
319	GET2g2-CC30	GET2g2	CC30	yes	single
320	GET2g2-CC32	GET2g2	CC32	yes	single
321	GET2g2-CC34	GET2g2	CC34	yes	single
322	GET2g2-CC35	GET2g2	CC35	yes	single
323	GET2g2-CC36	GET2g2	CC36	yes	single
324	GET2g2-CC11	GET2g2	CC11	yes	single
325	GET2g2-CC14	GET2g2	CC14	no	single
326	GET2g2-CC15	GET2g2	CC15	no	single
327	GET2g2-CC2	GET2g2	CC2	no	single
328	GET2g2-CC22	GET2g2	CC22	yes	single
329	GET2g2-CC26	GET2g2	CC26	yes	single
330	GET2g2-CC7	GET2g2	CC7	yes	single
331	IMP4g6-CC5	IMP4g6	CC5	yes	single
332	IMP4g6-CC8	IMP4g6	CC8	no	single
333	IMP4g6-CC16	IMP4g6	CC16	yes	single
334	IMP4g6-CC17	IMP4g6	CC17	no	single
335	IMP4g6-CC19	IMP4g6	CC19	no	single
336	IMP4g6-CC20	IMP4g6	CC20	no	single
337	IMP4g6-CC23	IMP4g6	CC23	no	single
338	IMP4g6-CC25	IMP4g6	CC25	no	single
339	IMP4g6-CC27	IMP4g6	CC27	no	single
340	IMP4g6-CC28	IMP4g6	CC28	no	single
341	IMP4g6-CC30	IMP4g6	CC30	no	single
342	IMP4g6-CC32	IMP4g6	CC32	no	single
343	IMP4g6-CC34	IMP4g6	CC34	no	single
344	IMP4g6-CC35	IMP4g6	CC35	no	single
345	IMP4g6-CC36	IMP4g6	CC36	no	single
346	IMP4g6-CC11	IMP4g6	CC11	no	single
347	IMP4g6-CC14	IMP4g6	CC14	yes	single
348	IMP4g6-CC15	IMP4g6	CC15	yes	single
349	IMP4g6-CC2	IMP4g6	CC2	yes	single
350	IMP4g6-CC22	IMP4g6	CC22	no	single
351	IMP4g6-CC26	IMP4g6	CC26	no	single
352	IMP4g6-CC7	IMP4g6	CC7	no	single
353	DIP2g5-CC5	DIP2g5	CC5	yes	single
354	DIP2g5-CC8	DIP2g5	CC8	no	single
355	DIP2g5-CC16	DIP2g5	CC16	yes	single
356	DIP2g5-CC17	DIP2g5	CC17	no	single
357	DIP2g5-CC19	DIP2g5	CC19	no	single
358	DIP2g5-CC20	DIP2g5	CC20	no	single
359	DIP2g5-CC23	DIP2g5	CC23	no	single
360	DIP2g5-CC25	DIP2g5	CC25	no	single
361	DIP2g5-CC27	DIP2g5	CC27	no	single
362	DIP2g5-CC28	DIP2g5	CC28	no	single
363	DIP2g5-CC30	DIP2g5	CC30	no	single
364	DIP2g5-CC32	DIP2g5	CC32	no	single
365	DIP2g5-CC34	DIP2g5	CC34	no	single
366	DIP2g5-CC35	DIP2g5	CC35	no	single
367	DIP2g5-CC36	DIP2g5	CC36	no	single
368	DIP2g5-CC11	DIP2g5	CC11	no	single
369	DIP2g5-CC14	DIP2g5	CC14	yes	single
370	DIP2g5-CC15	DIP2g5	CC15	yes	single
371	DIP2g5-CC2	DIP2g5	CC2	yes	single
372	DIP2g5-CC22	DIP2g5	CC22	no	single
373	DIP2g5-CC26	DIP2g5	CC26	no	single
374	DIP2g5-CC7	DIP2g5	CC7	no	single
375	PWP2g2_BC1-CC5	PWP2g2_BC1	CC5	yes	single
376	PWP2g2_BC1-CC8	PWP2g2_BC1	CC8	no	single
377	PWP2g2_BC1-CC16	PWP2g2_BC1	CC16	yes	single
378	PWP2g2_BC1-CC17	PWP2g2_BC1	CC17	no	single
379	PWP2g2_BC1-CC19	PWP2g2_BC1	CC19	no	single
380	PWP2g2_BC1-CC20	PWP2g2_BC1	CC20	no	single
381	PWP2g2_BC1-CC23	PWP2g2_BC1	CC23	no	single
382	PWP2g2_BC1-CC25	PWP2g2_BC1	CC25	no	single
383	PWP2g2_BC1-CC27	PWP2g2_BC1	CC27	no	single
384	PWP2g2_BC1-CC28	PWP2g2_BC1	CC28	no	single
385	PWP2g2_BC1-CC30	PWP2g2_BC1	CC30	no	single
386	PWP2g2_BC1-CC32	PWP2g2_BC1	CC32	no	single
387	PWP2g2_BC1-CC34	PWP2g2_BC1	CC34	no	single
388	PWP2g2_BC1-CC35	PWP2g2_BC1	CC35	no	single
389	PWP2g2_BC1-CC36	PWP2g2_BC1	CC36	no	single
390	PWP2g2_BC1-CC11	PWP2g2_BC1	CC11	no	single
391	PWP2g2_BC1-CC14	PWP2g2_BC1	CC14	yes	single
392	PWP2g2_BC1-CC15	PWP2g2_BC1	CC15	yes	single
393	PWP2g2_BC1-CC2	PWP2g2_BC1	CC2	yes	single
394	PWP2g2_BC1-CC22	PWP2g2_BC1	CC22	no	single
395	PWP2g2_BC1-CC26	PWP2g2_BC1	CC26	no	single
396	PWP2g2_BC1-CC7	PWP2g2_BC1	CC7	no	single
397	PWP2g2_BC2-CC5	PWP2g2_BC2	CC5	no	single
398	PWP2g2_BC2-CC8	PWP2g2_BC2	CC8	yes	single
399	PWP2g2_BC2-CC16	PWP2g2_BC2	CC16	no	single
400	PWP2g2_BC2-CC17	PWP2g2_BC2	CC17	yes	single
401	PWP2g2_BC2-CC19	PWP2g2_BC2	CC19	yes	single
402	PWP2g2_BC2-CC20	PWP2g2_BC2	CC20	yes	single
403	PWP2g2_BC2-CC23	PWP2g2_BC2	CC23	yes	single
404	PWP2g2_BC2-CC25	PWP2g2_BC2	CC25	yes	single
405	PWP2g2_BC2-CC27	PWP2g2_BC2	CC27	yes	single
406	PWP2g2_BC2-CC28	PWP2g2_BC2	CC28	yes	single
407	PWP2g2_BC2-CC30	PWP2g2_BC2	CC30	yes	single
408	PWP2g2_BC2-CC32	PWP2g2_BC2	CC32	yes	single
409	PWP2g2_BC2-CC34	PWP2g2_BC2	CC34	yes	single
410	PWP2g2_BC2-CC35	PWP2g2_BC2	CC35	yes	single
411	PWP2g2_BC2-CC36	PWP2g2_BC2	CC36	yes	single
412	PWP2g2_BC2-CC11	PWP2g2_BC2	CC11	yes	single
413	PWP2g2_BC2-CC14	PWP2g2_BC2	CC14	no	single
414	PWP2g2_BC2-CC15	PWP2g2_BC2	CC15	no	single
415	PWP2g2_BC2-CC2	PWP2g2_BC2	CC2	no	single
416	PWP2g2_BC2-CC22	PWP2g2_BC2	CC22	yes	single
417	PWP2g2_BC2-CC26	PWP2g2_BC2	CC26	yes	single
418	PWP2g2_BC2-CC7	PWP2g2_BC2	CC7	yes	single
419	TIF6g8-CC5	TIF6g8	CC5	yes	single
420	TIF6g8-CC8	TIF6g8	CC8	no	single
421	TIF6g8-CC16	TIF6g8	CC16	yes	single
422	TIF6g8-CC17	TIF6g8	CC17	no	single
423	TIF6g8-CC19	TIF6g8	CC19	no	single
424	TIF6g8-CC20	TIF6g8	CC20	no	single
425	TIF6g8-CC23	TIF6g8	CC23	no	single
426	TIF6g8-CC25	TIF6g8	CC25	no	single
427	TIF6g8-CC27	TIF6g8	CC27	no	single
428	TIF6g8-CC28	TIF6g8	CC28	no	single
429	TIF6g8-CC30	TIF6g8	CC30	no	single
430	TIF6g8-CC32	TIF6g8	CC32	no	single
431	TIF6g8-CC34	TIF6g8	CC34	no	single
432	TIF6g8-CC35	TIF6g8	CC35	no	single
433	TIF6g8-CC36	TIF6g8	CC36	no	single
434	TIF6g8-CC11	TIF6g8	CC11	no	single
435	TIF6g8-CC14	TIF6g8	CC14	yes	single
436	TIF6g8-CC15	TIF6g8	CC15	yes	single
437	TIF6g8-CC2	TIF6g8	CC2	yes	single
438	TIF6g8-CC22	TIF6g8	CC22	no	single
439	TIF6g8-CC26	TIF6g8	CC26	no	single
440	TIF6g8-CC7	TIF6g8	CC7	no	single
441	RPF1g3-CC5	RPF1g3	CC5	no	single
