"strain"	"query"	"array"	"r1"	"r2"	"r3"	"mean"	"sd"	"gi_score"
"PRE7g7-GUK1-TRg-5"	"PRE7g7-GUK1-TRg-5"	"PRE7g7"	"GUK1-TRg-5"	0.0460321940708744	0.45489583508476	0.106972959928705	0.202633663028113	0.220580136965883	-0.000743128448795399
"PRE7g7-GUK1-TRg-2"	"PRE7g7-GUK1-TRg-2"	"PRE7g7"	"GUK1-TRg-2"	0.266497222802824	0.326333446710359	0.0652790585052552	0.21936990933948	0.136759226950102	0.0494006605189186
"PRE7g7-GPI12-NRg-6"	"PRE7g7-GPI12-NRg-6"	"PRE7g7"	"GPI12-NRg-6"	0.155819880790218	0.339805880819249	0.0458814942335073	0.180502418614325	0.14850860922024	-0.044757027843163
"PRE7g7-RPS5-NRg-5"	"PRE7g7-RPS5-NRg-5"	"PRE7g7"	"RPS5-NRg-5"	0.0612157649822078	0.210105506764646	0.198416711665288	0.156579327804047	0.0827938030185525	-0.0321361358171679
"PRE7g7-RPS5-NRg-2"	"PRE7g7-RPS5-NRg-2"	"PRE7g7"	"RPS5-NRg-2"	0.0721292502807303	NA	0.118309816751281	NA	NA	NA
"PRE7g7-RPC19-NRg-1"	"PRE7g7-RPC19-NRg-1"	"PRE7g7"	"RPC19-NRg-1"	0.201058222141425	0.319898760008623	0.195240878699444	0.238732620283164	0.0703520934274882	0.0574486989095244
"PRE7g7-TIM54-TRg-1"	"PRE7g7-TIM54-TRg-1"	"PRE7g7"	"TIM54-TRg-1"	0.123307061836147	0.124486976521711	0.0851578882093411	0.1109839755224	0.0223738270998191	-0.0846613654084537
"PRE7g7-TEN1-TRg-2"	"PRE7g7-TEN1-TRg-2"	"PRE7g7"	"TEN1-TRg-2"	-0.083959191465186	0.333202150782993	0.126280911366254	0.125174623561354	0.208582871471044	-0.012960011915076
"PRE7g7-SAH1-NRg-4"	"PRE7g7-SAH1-NRg-4"	"PRE7g7"	"SAH1-NRg-4"	0.170811719964558	NA	-0.0592060585366327	NA	NA	NA
"PRE7g7-SAH1-NRg-5"	"PRE7g7-SAH1-NRg-5"	"PRE7g7"	"SAH1-NRg-5"	NA	0.101811125569921	NA	NA	NA	NA
"PRE7g7-SAH1-NRg-3"	"PRE7g7-SAH1-NRg-3"	"PRE7g7"	"SAH1-NRg-3"	0.11644691743996	NA	0.106969590112554	NA	NA	NA
"PRE7g7-ATP15-NRg-5"	"PRE7g7-ATP15-NRg-5"	"PRE7g7"	"ATP15-NRg-5"	NA	NA	NA	NA	NA	NA
"PRE7g7-SCD5-TRg-5"	"PRE7g7-SCD5-TRg-5"	"PRE7g7"	"SCD5-TRg-5"	NA	0.328793863018565	NA	NA	NA	NA
"PRE7g7-ARB1-NRg-2"	"PRE7g7-ARB1-NRg-2"	"PRE7g7"	"ARB1-NRg-2"	0.0272242618371408	0.132927593386306	0.312352443629993	0.157501432951146	0.144143765756079	-0.00218952755851329
"PRE7g7-ARB1-NRg-4"	"PRE7g7-ARB1-NRg-4"	"PRE7g7"	"ARB1-NRg-4"	0.00600863802254592	0.432043428329902	-0.00533415576068563	0.144239303530587	0.249310199212401	-0.0644295572182488
"PRE7g7-PUP2-TRg-1"	"PRE7g7-PUP2-TRg-1"	"PRE7g7"	"PUP2-TRg-1"	NA	0.0751263133273489	NA	NA	NA	NA
"PRE7g7-CCT8-TRg-2"	"PRE7g7-CCT8-TRg-2"	"PRE7g7"	"CCT8-TRg-2"	NA	NA	NA	NA	NA	NA
"PRE7g7-MCM4-TRg-1"	"PRE7g7-MCM4-TRg-1"	"PRE7g7"	"MCM4-TRg-1"	0.153169491492594	0.141215852702812	0.0418341043156255	0.112073149503677	0.0611217225851499	-0.000679457053375146
"PRE7g7-LSM4-TRg-1"	"PRE7g7-LSM4-TRg-1"	"PRE7g7"	"LSM4-TRg-1"	-0.02620066004467	0.446454187719426	0.097903001238501	0.172718842971086	0.245048380752336	-0.0684867278158879
"PRE7g7-NOP53-NRg-1"	"PRE7g7-NOP53-NRg-1"	"PRE7g7"	"NOP53-NRg-1"	0.0575186414341352	0.397410683797075	0.293021440210006	0.249316921813739	0.174109775175318	0.125869160819257
"PRE7g7-ATP3-TRg-4"	"PRE7g7-ATP3-TRg-4"	"PRE7g7"	"ATP3-TRg-4"	NA	NA	NA	NA	NA	NA
"PRE7g7-AFG2-NRg-3"	"PRE7g7-AFG2-NRg-3"	"PRE7g7"	"AFG2-NRg-3"	0.391672565326959	0.391012571399364	0.398233633593475	0.393639590106599	0.00399222051815728	0.143999534995496
"PRE7g7-PRO3-NRg-3"	"PRE7g7-PRO3-NRg-3"	"PRE7g7"	"PRO3-NRg-3"	0.169831821824389	0.124737352485308	NA	NA	NA	NA
"PRE7g7-NRD1-NRg-10"	"PRE7g7-NRD1-NRg-10"	"PRE7g7"	"NRD1-NRg-10"	0.101646994204646	0.318089012501383	0.056646535718031	0.15879418080802	0.139776224262798	0.0737527048727512
"PRE7g7-SEC61-TRg-2"	"PRE7g7-SEC61-TRg-2"	"PRE7g7"	"SEC61-TRg-2"	0.235398923367697	0.284450101937608	-0.0167850190219287	0.167688002094459	0.161629904936029	-0.0106153726276695
"PRE7g7-RHO3-TRg-4"	"PRE7g7-RHO3-TRg-4"	"PRE7g7"	"RHO3-TRg-4"	0.174122297993892	0.240345419098193	0.119243640356246	0.17790378581611	0.0606393844067372	-0.0282949141230011
"PRE7g7-SNF2-TRg-6"	"PRE7g7-SNF2-TRg-6"	"PRE7g7"	"SNF2-TRg-6"	-0.0773422932108827	-0.03412408600981	NA	NA	NA	NA
"PRE7g7-SMD2-NRg-3"	"PRE7g7-SMD2-NRg-3"	"PRE7g7"	"SMD2-NRg-3"	0.217988211016167	NA	NA	NA	NA	NA
"PRE7g7-RSC4-TRg-2"	"PRE7g7-RSC4-TRg-2"	"PRE7g7"	"RSC4-TRg-2"	0.122557909292084	0.228346519257445	-0.0626627843562406	0.0960805480644294	0.147300345181589	-0.086473640133893
"PRE7g7-RSC4-TRg-1"	"PRE7g7-RSC4-TRg-1"	"PRE7g7"	"RSC4-TRg-1"	0.35141819301496	0.492913954721564	-0.0369104972212335	0.269140550171764	0.27432771524765	0.130490515344941
"PRE7g7-TIF34-TRg-2"	"PRE7g7-TIF34-TRg-2"	"PRE7g7"	"TIF34-TRg-2"	0.0907599593697173	0.196684738948851	0.10514390584816	0.130862868055576	0.0574553173778707	0.0278616677852973
"PRE7g7-BET1-NRg-1"	"PRE7g7-BET1-NRg-1"	"PRE7g7"	"BET1-NRg-1"	0.140006887022968	NA	NA	NA	NA	NA
"PRE7g7-CDC8-NRg-2"	"PRE7g7-CDC8-NRg-2"	"PRE7g7"	"CDC8-NRg-2"	0.0931249463030429	0.352473855675998	0.0972508743183728	0.180949892099138	0.148558434231564	-0.0314716149874072
"PRE7g7-PRP42-TRg-2"	"PRE7g7-PRP42-TRg-2"	"PRE7g7"	"PRP42-TRg-2"	0.00554335503733661	0.197001763729774	0.240778091248089	0.1477744033384	0.12510533577095	-0.04560186712634
"PRE7g7-RRB1-TRg-2"	"PRE7g7-RRB1-TRg-2"	"PRE7g7"	"RRB1-TRg-2"	0.233283239632299	0.404128965991881	0.181372293391238	0.272928166338473	0.116550092051362	0.0707022926767584
"PRE7g7-SPC24-TRg-1"	"PRE7g7-SPC24-TRg-1"	"PRE7g7"	"SPC24-TRg-1"	-0.0251940324334436	0.21765355732016	-0.066899465376608	0.0418533531700361	0.1536688635302	-0.0450946529982874
"PRE7g7-ILS1-NRg-1"	"PRE7g7-ILS1-NRg-1"	"PRE7g7"	"ILS1-NRg-1"	0.0282892641175064	0.329352924736705	0.143870232187028	0.167170807013746	0.15187830499054	0.0214461638813807
"PRE7g7-GFA1-TRg-2"	"PRE7g7-GFA1-TRg-2"	"PRE7g7"	"GFA1-TRg-2"	0.295939687544904	0.119727610171959	0.16214506468853	0.192604120801798	0.0919700474475553	-0.0221360996570751
"PRE7g7-SEC21-NRg-10"	"PRE7g7-SEC21-NRg-10"	"PRE7g7"	"SEC21-NRg-10"	0.434042431920811	0.534636463141678	0.124552432601778	0.364410442554756	0.213725731916558	0.184914989376353
"PRE7g7-RPC10-NRg-1"	"PRE7g7-RPC10-NRg-1"	"PRE7g7"	"RPC10-NRg-1"	-0.0931070829153615	0.151446140224628	0.0624300204836052	0.0402563592642906	0.123775293075561	-0.063203015934082
"PRE7g7-RPB10-TRg-3"	"PRE7g7-RPB10-TRg-3"	"PRE7g7"	"RPB10-TRg-3"	0.138848418748731	0.0615110930686594	-0.0842531582933013	0.0387021178413629	0.113286210250189	-0.07961870689606
"PRE7g7-RPB10-TRg-2"	"PRE7g7-RPB10-TRg-2"	"PRE7g7"	"RPB10-TRg-2"	-0.0723826519312492	NA	NA	NA	NA	NA
"PRE7g7-YNL181W-TRg-1"	"PRE7g7-YNL181W-TRg-1"	"PRE7g7"	"YNL181W-TRg-1"	0.0993111951834148	0.0390154237937231	0.119088099999374	0.0858049063255041	0.0417099897832493	-0.126021296413614
"PRE7g7-RAD3-NRg-1"	"PRE7g7-RAD3-NRg-1"	"PRE7g7"	"RAD3-NRg-1"	0.0312256203732976	0.243615162789425	0.0834321362858117	0.119424306482845	0.110674778827663	-0.0747736846176111
"PRE7g7-NOP10-TRg-1"	"PRE7g7-NOP10-TRg-1"	"PRE7g7"	"NOP10-TRg-1"	0.196555999623168	0.219506907581196	0.253845446656994	0.223302784620453	0.0288327365547089	0.041870078111384
"PRE7g7-BFR2-TRg-3"	"PRE7g7-BFR2-TRg-3"	"PRE7g7"	"BFR2-TRg-3"	0.267503183828098	0.289664688714507	0.154221607414642	0.237129826652416	0.0726506206965339	0.0339483914626243
"PRE7g7-MCM2-TRg-6"	"PRE7g7-MCM2-TRg-6"	"PRE7g7"	"MCM2-TRg-6"	-0.0360896793615038	0.329320140488138	0.0119904976259111	0.101740319584182	0.198550640937754	-0.12677587894508
"PRE7g7-MCM2-TRg-4"	"PRE7g7-MCM2-TRg-4"	"PRE7g7"	"MCM2-TRg-4"	NA	0.354900799346504	0.0293226059272964	NA	NA	NA
"PRE7g7-MPP10-TRg-1"	"PRE7g7-MPP10-TRg-1"	"PRE7g7"	"MPP10-TRg-1"	0.147116113917139	0.301708572159002	0.242002670243175	0.230275785439772	0.0779605471165365	0.0592500502365781
